customer_id,name,age,income,employment_status,region,signup_date
10000,Robert Ewing,69,40138,Employed,South,2017-11-30 19:40:26
10001,Kayla Adkins,32,42539,Self-Employed,Central,2018-11-01 22:22:01
10002,Manuel Clark,78,55388,Self-Employed,Central,2019-02-28 11:56:50
10003,Heather Carlson,38,53068,Self-Employed,East,2021-03-23 03:31:41
10004,Eileen Bright,41,48737,Self-Employed,East,2017-09-11 03:27:01
10005,Debra Jones,20,48380,Student,East,2021-12-26 23:32:43
10006,Robert Cox,39,98642,Self-Employed,East,2016-09-25 16:46:34
10007,Paul Foster,70,74911,Retired,Central,2015-04-08 19:55:41
10008,Yvonne Black,19,62652,Self-Employed,Central,2019-03-07 15:12:14
10009,Steven Benson,47,31618,Retired,East,2015-04-02 05:47:01
10010,John Daniels,55,48891,Student,Central,2020-04-29 03:17:24
10011,Kenneth Gould,19,59908,Retired,East,2021-09-19 15:26:33
10012,Cynthia Scott,81,61223,Retired,South,2016-08-20 21:20:40
10013,Jillian Brewer,77,69164,Employed,East,2015-04-08 15:40:46
10014,Andrew Schwartz,38,40382,Retired,East,2021-02-19 06:49:02
10015,Kimberly Kim,50,49421,Employed,South,2016-05-11 19:28:27
10016,Eric Burns,75,38674,Self-Employed,North,2022-12-17 20:21:34
10017,Michael Smith,39,70021,Retired,West,2018-01-04 08:30:10
10018,Margaret Perry,66,60482,Retired,East,2017-01-15 13:03:47
10019,Kathleen Hodge,76,42389,Unemployed,South,2017-11-28 10:39:18
10020,John Brock,59,53373,Self-Employed,South,2022-05-28 17:29:52
10021,Bethany Grant,77,50754,Retired,Central,2019-04-18 21:19:51
10022,Kyle Gomez,32,36801,Retired,East,2019-09-05 13:32:03
10023,Mrs. Megan Smith,79,63952,Unemployed,South,2021-06-08 10:23:18
10024,Laura Hines,79,51154,Employed,North,2016-06-17 12:58:34
10025,Joshua Brown,64,42060,Self-Employed,North,2020-04-14 23:24:09
10026,Diane Smith,79,36543,Unemployed,West,2016-07-24 01:48:08
10027,Ashley Brown,68,62818,Self-Employed,Central,2022-03-24 19:40:18
10028,Heather Steele,72,54022,Self-Employed,Central,2022-04-17 14:00:53
10029,Daniel Adams,81,39580,Employed,Central,2020-02-23 00:42:49
10030,Susan Robinson,20,42532,Employed,East,2015-03-02 20:45:57
10031,Mike Guzman DDS,68,50082,Student,North,2022-08-01 06:49:40
10032,Mary Brown,24,50957,Unemployed,East,2019-02-16 10:17:52
10033,Richard Rubio,38,52880,Unemployed,South,2020-04-04 15:20:45
10034,Brittney Mullen,56,23462,Self-Employed,West,2016-08-11 18:56:23
10035,Seth Jefferson,35,51806,Student,West,2015-06-26 12:21:11
10036,Stephanie Tran,21,31712,Student,East,2017-09-24 00:01:03
10037,Shannon Baird,77,71285,Self-Employed,West,2020-10-17 12:08:00
10038,Jerry Johnson,31,65643,Employed,East,2022-01-20 11:06:38
10039,Scott Chapman,26,67350,Student,Central,2019-03-06 14:24:00
10040,George Harding,70,13116,Unemployed,South,2021-02-02 21:36:22
10041,Duane Welch,19,45512,Employed,Central,2017-06-17 03:05:22
10042,Catherine Rodriguez,77,48829,Retired,West,2015-12-24 07:24:48
10043,Carolyn Foster,61,58624,Student,South,2016-11-05 09:16:17
10044,Teresa Barton,25,63513,Self-Employed,North,2018-01-08 03:17:38
10045,Allison Wade,64,69269,Unemployed,East,2019-05-28 05:30:16
10046,Stephanie Sutton,52,15252,Student,South,2020-11-28 12:22:12
10047,Kayla Chapman,53,37980,Self-Employed,East,2019-03-01 03:56:52
10048,Ms. Donna Mclaughlin,67,50866,Unemployed,South,2018-10-10 08:53:03
10049,Paul Hernandez,21,62442,Student,West,2017-08-28 19:48:26
10050,Melissa Smith,19,62027,Unemployed,Central,2017-10-17 06:00:44
10051,Sydney Salinas,23,57123,Retired,West,2016-11-06 13:50:36
10052,Katelyn Gentry,71,40444,Unemployed,North,2019-06-13 14:45:43
10053,Darlene Pierce,21,42352,Self-Employed,West,2015-05-08 16:18:42
10054,Amanda Frank MD,71,40558,Student,South,2015-12-15 23:38:31
10055,William Moore,80,35284,Self-Employed,North,2018-07-12 04:43:21
10056,Jennifer Evans,35,35074,Retired,South,2018-09-24 20:56:36
10057,Tyler Henderson,61,33639,Employed,Central,2022-05-20 08:39:04
